timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/20 01:49:37.235, [N/A], 27305 MiB, 68016 MiB, 33
2026/03/20 01:49:37.238, [N/A], 93 MiB, 95227 MiB, 30
2026/03/20 01:49:37.240, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 01:49:37.242, [N/A], 93 MiB, 80987 MiB, 25
2026/03/20 01:49:37.245, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 01:49:37.247, 94 %, 2025 MiB, 93295 MiB, 65
2026/03/20 01:49:37.249, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 01:49:37.251, 94 %, 13015 MiB, 82305 MiB, 62
2026/03/20 01:50:37.253, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 01:50:37.254, [N/A], 93 MiB, 95227 MiB, 30
2026/03/20 01:50:37.254, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 01:50:37.255, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 01:50:37.255, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 01:50:37.256, 98 %, 2025 MiB, 93295 MiB, 66
2026/03/20 01:50:37.256, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 01:50:37.256, 94 %, 13015 MiB, 82305 MiB, 63
2026/03/20 01:51:37.257, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 01:51:37.258, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 01:51:37.258, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 01:51:37.259, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 01:51:37.259, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 01:51:37.260, 98 %, 2025 MiB, 93295 MiB, 63
2026/03/20 01:51:37.260, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 01:51:37.260, 94 %, 13015 MiB, 82305 MiB, 63
2026/03/20 01:52:37.261, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 01:52:37.262, [N/A], 93 MiB, 95227 MiB, 30
2026/03/20 01:52:37.263, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 01:52:37.263, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 01:52:37.264, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 01:52:37.264, 72 %, 2025 MiB, 93295 MiB, 62
2026/03/20 01:52:37.265, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 01:52:37.265, 95 %, 13015 MiB, 82305 MiB, 63
2026/03/20 01:53:37.266, [N/A], 27305 MiB, 68016 MiB, 33
2026/03/20 01:53:37.266, [N/A], 93 MiB, 95227 MiB, 30
2026/03/20 01:53:37.267, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 01:53:37.267, [N/A], 93 MiB, 80987 MiB, 25
2026/03/20 01:53:37.268, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 01:53:37.269, 94 %, 2025 MiB, 93295 MiB, 65
2026/03/20 01:53:37.269, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 01:53:37.269, 93 %, 13015 MiB, 82305 MiB, 63
2026/03/20 01:54:37.270, [N/A], 27305 MiB, 68016 MiB, 33
2026/03/20 01:54:37.271, [N/A], 93 MiB, 95227 MiB, 30
2026/03/20 01:54:37.271, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 01:54:37.272, [N/A], 93 MiB, 80987 MiB, 25
2026/03/20 01:54:37.272, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 01:54:37.273, 98 %, 2025 MiB, 93295 MiB, 65
2026/03/20 01:54:37.273, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 01:54:37.273, 95 %, 13015 MiB, 82305 MiB, 62
2026/03/20 01:55:37.274, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 01:55:37.274, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 01:55:37.275, [N/A], 93 MiB, 80987 MiB, 28
2026/03/20 01:55:37.276, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 01:55:37.276, [N/A], 68 MiB, 95252 MiB, 30
2026/03/20 01:55:37.277, 98 %, 2025 MiB, 93295 MiB, 66
2026/03/20 01:55:37.277, 0 %, 4 MiB, 95317 MiB, 28
2026/03/20 01:55:37.277, 92 %, 13015 MiB, 82305 MiB, 63
2026/03/20 01:56:37.278, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/20 01:56:37.279, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 01:56:37.279, [N/A], 93 MiB, 80987 MiB, 28
2026/03/20 01:56:37.280, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 01:56:37.280, [N/A], 68 MiB, 95252 MiB, 30
2026/03/20 01:56:37.281, 98 %, 2025 MiB, 93295 MiB, 67
2026/03/20 01:56:37.281, 0 %, 4 MiB, 95317 MiB, 28
2026/03/20 01:56:37.281, 95 %, 13015 MiB, 82305 MiB, 64
2026/03/20 01:57:37.282, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/20 01:57:37.283, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 01:57:37.283, [N/A], 93 MiB, 80987 MiB, 28
2026/03/20 01:57:37.284, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 01:57:37.284, [N/A], 68 MiB, 95252 MiB, 30
2026/03/20 01:57:37.285, 97 %, 2025 MiB, 93295 MiB, 67
2026/03/20 01:57:37.285, 0 %, 4 MiB, 95317 MiB, 28
2026/03/20 01:57:37.285, 94 %, 13015 MiB, 82305 MiB, 64
2026/03/20 01:58:37.286, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 01:58:37.287, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 01:58:37.287, [N/A], 93 MiB, 80987 MiB, 28
2026/03/20 01:58:37.288, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 01:58:37.289, [N/A], 68 MiB, 95252 MiB, 30
2026/03/20 01:58:37.289, 98 %, 2025 MiB, 93295 MiB, 66
2026/03/20 01:58:37.289, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 01:58:37.289, 95 %, 13015 MiB, 82305 MiB, 63
