timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/19 22:42:02.983, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 22:42:02.988, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 22:42:02.992, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 22:42:02.997, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 22:42:03.002, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 22:42:03.007, 38 %, 2025 MiB, 93295 MiB, 64
2026/03/19 22:42:03.010, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 22:42:03.015, 100 %, 61783 MiB, 33538 MiB, 60
2026/03/19 22:43:03.021, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 22:43:03.022, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 22:43:03.023, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 22:43:03.023, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 22:43:03.024, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 22:43:03.024, 96 %, 2025 MiB, 93295 MiB, 67
2026/03/19 22:43:03.024, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 22:43:03.024, 94 %, 61783 MiB, 33538 MiB, 59
2026/03/19 22:44:03.025, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 22:44:03.026, [N/A], 93 MiB, 95227 MiB, 32
2026/03/19 22:44:03.026, [N/A], 93 MiB, 80987 MiB, 29
2026/03/19 22:44:03.027, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 22:44:03.027, [N/A], 68 MiB, 95252 MiB, 31
2026/03/19 22:44:03.028, 98 %, 2025 MiB, 93295 MiB, 68
2026/03/19 22:44:03.028, 0 %, 4 MiB, 95317 MiB, 29
2026/03/19 22:44:03.028, 99 %, 61783 MiB, 33538 MiB, 61
2026/03/19 22:45:03.029, [N/A], 27305 MiB, 68016 MiB, 36
2026/03/19 22:45:03.029, [N/A], 93 MiB, 95227 MiB, 32
2026/03/19 22:45:03.030, [N/A], 93 MiB, 80987 MiB, 29
2026/03/19 22:45:03.030, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 22:45:03.031, [N/A], 68 MiB, 95252 MiB, 31
2026/03/19 22:45:03.032, 94 %, 2025 MiB, 93295 MiB, 68
2026/03/19 22:45:03.032, 0 %, 4 MiB, 95317 MiB, 29
2026/03/19 22:45:03.032, 80 %, 61783 MiB, 33538 MiB, 61
2026/03/19 22:46:03.032, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 22:46:03.033, [N/A], 93 MiB, 95227 MiB, 32
2026/03/19 22:46:03.033, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 22:46:03.034, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 22:46:03.034, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 22:46:03.035, 97 %, 2025 MiB, 93295 MiB, 68
2026/03/19 22:46:03.035, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 22:46:03.035, 100 %, 61783 MiB, 33538 MiB, 61
2026/03/19 22:47:03.036, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 22:47:03.037, [N/A], 93 MiB, 95227 MiB, 31
