timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/14 17:49:10.622, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 17:49:10.627, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 17:49:10.631, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 17:49:10.636, [N/A], 87 MiB, 80993 MiB, 17
2026/03/14 17:49:10.641, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 17:49:10.646, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 17:49:10.650, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 17:49:10.655, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 17:50:10.660, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 17:50:10.661, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 17:50:10.661, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 17:50:10.662, [N/A], 87 MiB, 80993 MiB, 17
2026/03/14 17:50:10.662, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 17:50:10.663, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 17:50:10.663, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 17:50:10.663, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 17:51:10.664, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 17:51:10.665, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 17:51:10.665, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 17:51:10.666, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 17:51:10.666, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 17:51:10.667, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 17:51:10.667, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 17:51:10.667, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 17:52:10.667, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 17:52:10.668, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 17:52:10.669, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 17:52:10.669, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 17:52:10.670, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 17:52:10.671, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 17:52:10.671, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 17:52:10.671, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 17:53:10.671, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 17:53:10.672, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 17:53:10.673, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 17:53:10.673, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 17:53:10.674, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 17:53:10.674, 0 %, 0 MiB, 95320 MiB, 22
2026/03/14 17:53:10.675, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 17:53:10.675, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 17:54:10.675, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 17:54:10.676, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 17:54:10.677, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 17:54:10.677, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 17:54:10.678, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 17:54:10.678, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 17:54:10.679, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 17:54:10.679, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 17:55:10.679, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 17:55:10.680, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 17:55:10.681, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 17:55:10.681, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 17:55:10.682, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 17:55:10.682, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 17:55:10.682, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 17:55:10.682, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 17:56:10.683, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 17:56:10.684, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 17:56:10.684, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 17:56:10.685, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 17:56:10.686, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 17:56:10.686, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 17:56:10.686, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 17:56:10.686, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 17:57:10.687, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 17:57:10.688, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 17:57:10.688, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 17:57:10.689, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 17:57:10.689, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 17:57:10.690, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 17:57:10.690, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 17:57:10.690, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 17:58:10.691, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 17:58:10.692, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 17:58:10.692, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 17:58:10.693, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 17:58:10.693, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 17:58:10.694, 0 %, 0 MiB, 95320 MiB, 22
2026/03/14 17:58:10.694, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 17:58:10.694, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 17:59:10.695, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 17:59:10.695, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 17:59:10.696, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 17:59:10.697, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 17:59:10.697, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 17:59:10.698, 0 %, 0 MiB, 95320 MiB, 22
2026/03/14 17:59:10.698, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 17:59:10.698, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:00:10.698, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:00:10.699, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:00:10.700, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:00:10.700, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:00:10.701, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 18:00:10.702, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:00:10.702, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:00:10.702, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:01:10.702, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:01:10.703, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:01:10.704, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:01:10.704, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:01:10.705, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:01:10.705, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:01:10.706, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:01:10.706, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:02:10.706, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:02:10.707, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:02:10.707, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:02:10.708, [N/A], 87 MiB, 80993 MiB, 17
2026/03/14 18:02:10.709, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:02:10.709, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:02:10.709, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:02:10.709, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:03:10.710, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:03:10.711, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:03:10.711, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:03:10.712, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:03:10.712, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:03:10.713, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:03:10.713, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:03:10.713, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:04:10.714, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:04:10.715, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:04:10.715, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:04:10.716, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:04:10.716, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 18:04:10.717, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:04:10.717, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:04:10.717, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:05:10.718, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:05:10.718, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:05:10.719, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:05:10.720, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:05:10.721, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 18:05:10.722, 0 %, 0 MiB, 95320 MiB, 22
2026/03/14 18:05:10.722, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:05:10.722, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:06:10.722, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:06:10.723, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:06:10.724, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:06:10.724, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:06:10.725, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 18:06:10.726, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:06:10.726, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:06:10.726, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:07:10.726, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:07:10.727, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:07:10.728, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:07:10.728, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:07:10.729, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:07:10.729, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:07:10.730, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:07:10.730, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:08:10.730, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:08:10.731, [N/A], 87 MiB, 95234 MiB, 22
